Date,Argentina,Australia,Austria,Belgium,Brazil,Canada,China,Denmark,Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Philippines,Portugal,Singapore,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Kingdom,USA
1993-03-31,0.08526,0.03716,-0.01991,0.08387,0.02754,0.02478,-0.10744,0.01194,0.08965,0.04447,0.02687,-0.05371,0.00039,-0.15498,0.0106,0.18162,0.05817,-0.08404,0.13996,0.05908,0.13523,0.0611,0.03615,0.112,-0.07184,0.00375,-0.00179,0.05934,0.00913,0.06314,0.08116,-0.07906,-0.04114,0.07041,0.01824
1993-04-30,-0.03227,0.00429,-0.01183,-0.02972,-0.01181,0.03319,-0.05513,0.04962,0.24444,-0.01575,-0.01518,-0.02213,0.07343,-0.06481,0.02897,0.02684,-0.00865,0.21407,0.1771,0.09136,-0.07414,-0.00695,0.05454,0.04867,0.03879,-0.02386,0.07579,0.00297,0.09754,0.0254,-0.04934,0.02891,0.32323,0.02674,-0.02437
1993-05-31,-0.02943,-0.01967,0.01905,-0.01823,0.12422,0.01251,-0.05984,0.02053,0.03261,-0.0273,-0.0041,0.0204,0.08328,0.05158,0.11198,0.00408,0.00267,0.02544,0.02698,0.047,-0.01587,0.01787,0.0121,-0.01327,-0.01767,0.10413,0.0304,-0.02296,0.10402,0.0745,-0.0754,-0.02786,0.00849,0.00447,0.02319
1993-06-30,0.08464,-0.02471,-0.00344,0.00599,0.12303,-0.00896,-0.04669,0.01213,-0.05506,-0.01627,-0.03437,-0.01643,-0.03819,0.01195,0.05638,-0.00082,-0.03596,-0.02409,-0.01442,-0.025,0.00525,-0.01024,0.01678,-0.043,-0.00551,-0.05168,-0.03674,-0.00675,-0.07015,-0.00045,-0.07182,0.04001,0.18894,-0.01299,0.00078
1993-07-30,-0.0076,0.09612,0.04157,-0.025,0.00497,-0.00912,-0.11827,-0.03752,0.07516,0.01097,0.03178,0.10172,-0.02126,0.0608,-0.01741,-0.02687,-0.11112,0.01486,0.06277,-0.03483,0.05442,-0.00122,0.1278,0.03942,0.07323,-0.02741,0.0052,-0.06441,0.02644,-0.00465,-0.02136,0.03287,-0.1177,-0.00552,-0.0034
1993-08-31,0.12801,0.0404,0.10655,0.00415,0.06889,0.00554,0.16949,0.04444,0.10949,0.0856,0.11013,0.03731,0.07004,0.13094,0.22632,0.06101,0.13446,0.12161,0.02128,-0.06713,0.09559,0.09869,0.09412,0.09431,0.03007,0.21464,0.12995,0.21389,0.09243,0.0687,-0.02072,0.02716,0.25904,0.06761,0.03379
1993-09-30,0.06743,-0.02699,-0.0242,0.00772,0.0759,-0.05097,0.06711,0.03455,0.0032,-0.01016,0.01557,-0.05317,0.01818,0.03789,-0.03323,-0.01533,0.1027,-0.06168,-0.04805,0.06982,-0.03515,0.00183,-0.02485,-0.02014,0.10383,-0.06241,0.04333,-0.03003,0.01479,0.03254,-0.01635,0.02126,0.20479,-0.01401,-0.01209
1993-10-29,0.09957,0.11115,0.07199,0.03578,-0.07654,0.09168,0.09671,0.04053,0.13594,0.00743,0.05833,0.01705,0.22965,-0.01737,0.041,0.03082,-0.00916,-0.03683,-0.00508,0.02002,0.10273,0.05675,0.13144,0.11241,0.17253,0.05535,0.05192,0.05937,0.09312,0.05502,0.07001,0.29386,-0.06413,0.03666,0.0153
1993-11-30,-0.04681,-0.0644,-0.04849,0.01297,0.07713,-0.02466,0.08238,-0.03079,-0.05377,-0.03239,-0.02478,0.01163,-0.01634,0.21466,0.08433,0.01167,0.01082,-0.10586,-0.16648,0.09358,0.10407,-0.03287,-0.09209,-0.07256,0.04056,-0.03774,-0.01219,-0.09524,-0.11996,0.00552,0.08968,0.03859,0.18429,0.00199,-0.00901
1993-12-31,0.18275,0.10715,0.07362,0.05819,0.02283,0.04372,0.24308,0.05934,0.05457,0.08188,0.057,0.10803,0.27264,0.06083,0.13948,0.04766,0.01664,0.12579,0.03112,0.10819,0.16707,0.05112,0.11397,0.07214,0.36769,0.00329,0.22061,0.07865,0.10381,0.08026,0.46436,0.2847,-0.00616,0.07232,0.00983
1994-01-31,0.11591,0.10511,0.01878,0.04207,0.34605,0.06148,-0.13291,0.08572,0.23264,0.03784,-0.03024,0.09148,-0.03926,0.16496,0.02866,0.12217,0.02285,0.09606,0.16086,0.13439,0.07912,0.04397,0.1119,0.13005,-0.10096,0.12735,-0.02505,0.12092,0.17152,0.09127,0.00174,-0.09795,-0.19076,0.04251,0.03411
1994-02-28,-0.0642,-0.05264,-0.01354,-0.00739,0.02853,-0.05029,-0.05382,0.00302,-0.01582,-0.02011,-0.01984,0.02755,-0.10661,0.06939,-0.08943,-0.07414,-0.11013,-0.00891,0.04519,-0.01246,-0.09004,-0.02109,-0.06168,0.02987,-0.02382,0.01789,-0.00391,-0.0496,-0.04785,-0.05964,-0.12396,-0.09353,-0.32702,-0.05172,-0.03028
1994-03-31,-0.12238,-0.07513,-0.0414,-0.01628,0.02483,-0.04492,-0.1825,-0.01461,-0.03586,-0.04675,0.03352,-0.06621,-0.10996,-0.11139,-0.09746,-0.03758,-0.06356,0.1607,-0.04328,-0.08783,-0.11421,-0.0351,-0.10103,-0.07443,-0.03388,0.01637,-0.0972,-0.04755,-0.06268,-0.01278,-0.02258,-0.08624,-0.30006,-0.06937,-0.04554
1994-04-29,0.00346,0.03422,-0.0124,0.05339,-0.21411,-0.01281,-0.02343,0.01652,0.07515,0.04299,0.05888,0.00158,0.00167,-0.02306,-0.10017,0.04976,0.00803,0.10285,0.0421,0.06739,-0.02853,0.0537,0.06431,0.00341,0.03823,-0.0498,0.0968,0.02175,0.08104,-0.01511,0.09307,0.03364,-0.17987,0.03367,0.01193
1994-05-31,0.10325,0.04569,-0.02783,-0.02386,-0.00503,0.01041,0.04377,-0.0768,-0.05901,-0.04828,-0.05878,-0.11216,0.06654,0.0123,0.12317,-0.05054,-0.15359,-0.07847,0.02142,0.044,0.07367,-0.03328,0.056,0.01159,0.09314,-0.09681,0.0062,-0.00333,-0.01453,0.00026,0.00547,0.09006,0.06271,-0.0549,0.01436
1994-06-30,-0.14639,-0.0534,0.07498,-0.01763,0.02171,-0.06643,-0.1138,0.04438,-0.01208,-0.04,0.00183,-0.00193,-0.08349,0.04992,-0.08695,-0.00128,-0.13677,-0.06656,0.04883,-0.01697,-0.10977,-0.01136,-0.06093,-0.04773,-0.09561,-0.05132,-0.02153,-0.05758,-0.05294,0.00864,0.0195,-0.03262,0.23754,0.00063,-0.03033
1994-07-29,0.07924,0.04873,-0.02642,0.04413,0.17943,0.0443,0.11675,0.04854,0.11859,0.09741,0.0481,-0.00188,0.07716,0.02966,-0.0258,0.07904,0.10668,0.05251,-0.03637,0.00156,0.08567,0.05882,0.03669,0.12278,0.03464,0.06178,0.02445,0.05747,0.0657,-0.02424,0.14562,0.10705,0.12422,0.05092,0.0315
1994-08-31,0.07148,0.04535,0.0369,0.0114,0.35539,0.05483,0.05752,-0.07115,0.09441,0.00397,0.03565,0.00846,0.05419,0.08043,0.14427,0.07601,0.04067,-0.02086,0.00633,0.04913,0.07318,0.03346,0.07863,4e-05,0.09044,0.0709,0.04887,-0.01354,-0.00555,0.04071,0.04332,0.1038,0.0654,0.05452,0.03716
1994-09-30,-0.02049,-0.05571,-0.05052,-0.05776,0.07869,0.0206,0.01022,0.00151,0.01777,-0.06897,-0.06039,0.01366,-0.04497,-0.05577,-0.04123,-0.03239,0.02475,-0.0005,-0.02517,0.15308,0.01646,-0.03006,-0.01727,-0.06174,-0.08182,-0.00533,0.0415,-0.03136,0.00236,-0.00777,0.0319,-0.04186,0.04979,-0.04885,-0.02329
1994-10-31,-0.06466,0.02539,-0.03355,0.03472,-0.07405,-0.01414,-0.04016,0.01851,0.12288,0.03423,0.05463,-0.00705,0.00494,-0.01525,0.02924,0.02067,0.02466,-0.05371,0.02692,0.00537,-0.08183,0.06482,0.06115,0.05544,0.07762,0.03863,0.04702,0.02677,0.09471,0.00831,-0.07838,0.04428,-0.10037,0.05525,0.02079
1994-11-30,-0.06804,-0.0401,-0.01902,-0.0198,-0.04034,-0.05711,-0.13047,-0.04192,-0.09965,-0.01203,-0.0536,0.00478,-0.12406,-0.0335,-0.11054,-0.05128,-0.11649,-0.07011,-0.0508,-0.04434,0.00589,-0.05297,-0.04258,-0.01813,-0.06507,-0.01848,-0.05654,-0.0196,-0.02812,-0.02236,-0.02805,-0.11101,0.09743,-0.0461,-0.03628
1994-12-30,-0.12316,0.01911,0.0286,0.01121,-0.05683,0.01533,-0.12393,0.0254,0.02743,-0.03563,0.03487,0.03646,-0.03374,-0.05071,-0.04344,0.03348,-0.00672,0.01814,0.01098,-0.06282,-0.33785,0.02454,-0.04259,0.07401,0.00993,-0.01177,0.00667,-0.06499,-0.0164,0.02378,0.12729,0.0038,-0.07056,-0.00167,0.01245
1995-01-31,-0.04311,-0.06258,-0.03797,-0.00776,-0.08661,-0.05277,-0.13821,0.01286,-0.01115,-0.02482,-0.02007,-0.05377,-0.12048,-0.06193,-0.08526,0.00745,0.00659,0.06677,-0.05882,-0.09168,-0.21864,0.00963,0.02942,0.00808,-0.13878,-0.0892,-0.08035,-0.01151,0.00484,-0.00931,-0.12265,-0.11845,-0.11977,-0.01805,0.02538
1995-02-28,-0.20308,0.02954,0.04901,0.02733,-0.15034,0.05321,0.11465,0.0284,0.00514,0.01524,0.08359,0.03065,0.14982,-0.05292,0.08355,0.03357,-0.11428,-0.09084,-0.04884,-0.02134,-0.23863,0.02594,0.01586,-0.0377,0.00807,0.06808,0.03825,0.02207,0.016,0.05862,0.03091,0.06633,0.06332,0.00279,0.03728
